what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.debug.ui,3.5.0.v20090603,"org.eclipse.debug.ui.sourcelookup.CommonSourceNotFoundEditor",1256936219050
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1256936223141
executed,command,org.eclipse.debug.ui,3.5.0.v20090603,"org.eclipse.debug.ui.commands.Resume",1256936230567
activated,view,org.eclipse.debug.ui,3.5.0.v20090603,"org.eclipse.debug.ui.DebugView",1256936242269
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1256936243393
executed,command,org.eclipse.debug.ui,3.5.0.v20090603,"org.eclipse.debug.ui.commands.Terminate",1256936247452
closed,editor,org.eclipse.debug.ui,3.5.0.v20090603,"org.eclipse.debug.ui.sourcelookup.CommonSourceNotFoundEditor",1256936248263
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1256936253153
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1256936257275
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineEnd",1256936262068
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.text.contentAssist.proposals",1256936264393
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1256936269960
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1256936279580
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1256936283459
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1256936305007
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1256936321772
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1256936331069
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1256936337958
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1256936409615
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineEnd",1256936417879
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1256936442255
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1256936454615
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1256936459544
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1256936513121
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1256936514498
