what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1257865332234
opened,editor,org.eclipse.cdt.make.ui,6.0.0.200906161748,"org.eclipse.cdt.make.editor",1257865333591
activated,editor,org.eclipse.cdt.make.ui,6.0.0.200906161748,"org.eclipse.cdt.make.editor",1257865333669
activated,editor,org.eclipse.cdt.make.ui,6.0.0.200906161748,"org.eclipse.cdt.make.editor",1257865340357
closed,editor,org.eclipse.cdt.make.ui,6.0.0.200906161748,"org.eclipse.cdt.make.editor",1257865340357
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1257865342153
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1257865343120
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1257865743565
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.refresh",1257865745863
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1257865749876
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1257865752916
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1257865757942
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1257865759171
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1257865759228
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.refresh",1257865762278
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1257865779659
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1257865844358
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1257865857872
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1257865969483
opened,editor,org.eclipse.cdt.ui,5.1.0.200906161748,"org.eclipse.cdt.ui.editor.CEditor",1257865978050
activated,editor,org.eclipse.cdt.ui,5.1.0.200906161748,"org.eclipse.cdt.ui.editor.CEditor",1257865978174
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1257866028416
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1257866064023
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1257866066763
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1257867243890
