what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jdt.launching,3.5.0.v20090527,"org.eclipse.jdt.launching",1258038759176
started,bundle,org.eclipse.jdt.apt.core,3.3.200.v20090528-1135,"org.eclipse.jdt.apt.core",1258038759288
started,bundle,org.eclipse.mylyn.monitor.ui,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.monitor.ui",1258038759617
error,log,,,"Unhandled event loop exception",1258038761007
error,log,,,"Failed to find the package of the AndroidManifest of project streamer. Reason: Resource is out of sync with the file system: '/streamer/AndroidManifest.xml'.",1258038762294
error,log,,,"loadAndParseRClass: failed to find manifest package for project streamer",1258038762296
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1258038774848
error,log,,,"Errors occurred during the build.",1258038776421
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1258038776577
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1258038795853
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.refresh",1258038801533
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1258038802207
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1258038808473
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1258039126428
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1258041989205
closed,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1258041991574
stopped,bundle,org.eclipse.mylyn.ide.ant,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.ide.ant",1258041993236
stopped,bundle,org.eclipse.ant.ui,3.4.0.v20090520,"org.eclipse.ant.ui",1258041993268
stopped,bundle,org.eclipse.mylyn.java.tasks,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.java.tasks",1258041993327
stopped,bundle,org.eclipse.mylyn.java.ui,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.java.ui",1258041993340
stopped,bundle,com.android.ide.eclipse.adt,0.9.1.v200905011822-1621,"com.android.ide.eclipse.adt",1258041993340
