what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1256939626626
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1256939627829
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1256939629028
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1256939629032
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1256939671366
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1256939671494
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1256939673192
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1256939673437
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1256939675116
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1256939677733
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1256939680863
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1256939692948
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1256939698061
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1256939702303
activated,perspective,com.android.ide.eclipse.ddms,0.9.1.v200905011822-1621,"com.android.ide.eclipse.ddms.Perspective",1256939706257
activated,view,com.android.ide.eclipse.ddms,0.9.1.v200905011822-1621,"com.android.ide.eclipse.ddms.views.FileExplorerView",1256939706301
activated,view,com.android.ide.eclipse.ddms,0.9.1.v200905011822-1621,"com.android.ide.eclipse.ddms.views.LogCatView",1256939715034
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1256939754280
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1256939755528
activated,perspective,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.JavaPerspective",1256939759856
activated,editor,com.android.ide.eclipse.adt,0.9.1.v200905011822-1621,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1256939759866
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1256939773629
activated,editor,com.android.ide.eclipse.adt,0.9.1.v200905011822-1621,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1256939775646
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1256939802346
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1256939807337
